Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
Wrangler of the Damned,WU,U,115190,18270,6.95,60479,57.70%,49.90%,9795,48.60%,16511,52.10%
"Wylie Duke, Atiin Hero",WG,R,23066,9901,2.46,51459,85.30%,56.50%,9037,59.10%,11753,60.10%
Bandit's Haul,,U,129911,22108,7.34,82856,63.20%,53.00%,15147,53.30%,21464,54.10%
Boom Box,,U,157524,17591,11.4,9248,8.90%,51.10%,1469,47.80%,2385,52.80%
Gold Pan,,C,380819,46768,11,60891,21.80%,52.50%,11002,53.50%,13725,51.40%
Lavaspur Boots,,U,152968,15203,11.17,10933,12.10%,53.30%,1802,53.60%,2412,50.70%
Luxurious Locomotive,,U,153700,17438,10.76,18406,17.70%,50.80%,2832,48.00%,4475,50.40%
Mobile Homestead,,U,118895,23457,6.42,104882,73.80%,55.40%,19121,58.60%,23610,53.80%
Oasis Gardener,,C,354784,50857,8.99,171480,56.70%,53.20%,30948,53.10%,41731,54.40%
Redrock Sentinel,,U,150233,23193,9.53,65552,47.30%,53.90%,11424,52.30%,16533,55.90%
Silver Deputy,,C,368473,46880,9.99,114152,41.40%,51.20%,21639,49.20%,26618,50.60%
Sterling Hound,,C,383024,54473,10.78,104287,32.10%,53.40%,18563,52.40%,25113,54.10%
Tomb Trawler,,U,160843,20148,11.8,11059,9.30%,51.20%,1883,46.00%,2980,51.70%
Abraded Bluffs,,C,176772,33251,7.04,155147,77.70%,54.40%,27832,56.20%,34840,52.70%
Arid Archway,,U,144359,22924,8.68,85525,62.70%,53.60%,14243,50.10%,19739,52.00%
Bristling Backwoods,,C,165608,34202,6.4,171724,83.00%,55.00%,31545,57.50%,37432,53.20%
Conduit Pylons,,C,321231,61805,7.17,339925,90.90%,55.10%,62465,55.30%,79052,56.10%
Creosote Heath,,C,159690,36767,5.97,199080,89.10%,55.90%,37046,58.40%,42911,53.80%
Eroded Canyon,,C,176869,33279,7.13,150543,76.70%,52.90%,27430,54.50%,38524,54.10%
